method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
SNV,svm,0.010000,scale,42,1,0.897436,0.886965,0.873068
SNV,svm,0.100000,scale,42,1,0.897436,0.894901,0.872445
SNV,svm,1.000000,scale,42,1,0.897436,0.894901,0.872445
SNV,svm,10.000000,scale,42,1,0.897436,0.904762,0.871711
SNV,svm,100.000000,scale,42,1,0.897436,0.904762,0.871711
SNV,rbf_svm,0.100000,0.001,42,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.01,42,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.1,42,1,0.564103,0.615257,0.500753
SNV,rbf_svm,0.100000,1,42,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,10,42,1,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.001,42,1,0.256410,0.068027,0.000000
SNV,rbf_svm,1.000000,0.01,42,1,0.897436,0.894901,0.872445
SNV,rbf_svm,1.000000,0.1,42,1,0.871795,0.882581,0.836957
SNV,rbf_svm,1.000000,1,42,1,0.666667,0.599206,0.559130
SNV,rbf_svm,1.000000,10,42,1,0.256410,0.068027,0.000000
SNV,rbf_svm,10.000000,0.001,42,1,0.897436,0.894901,0.872445
SNV,rbf_svm,10.000000,0.01,42,1,0.923077,0.915637,0.904020
SNV,rbf_svm,10.000000,0.1,42,1,0.923077,0.914085,0.902337
SNV,rbf_svm,10.000000,1,42,1,0.743590,0.650358,0.662921
SNV,rbf_svm,10.000000,10,42,1,0.282051,0.073333,0.000000
SNV,rbf_svm,100.000000,0.001,42,1,0.923077,0.915637,0.904020
SNV,rbf_svm,100.000000,0.01,42,1,0.923077,0.915637,0.904020
SNV,rbf_svm,100.000000,0.1,42,1,0.923077,0.914085,0.902337
SNV,rbf_svm,100.000000,1,42,1,0.743590,0.650358,0.662921
SNV,rbf_svm,100.000000,10,42,1,0.282051,0.073333,0.000000
USP,svm,0.010000,scale,42,2,0.871795,0.837626,0.839638
USP,svm,0.100000,scale,42,2,0.923077,0.912217,0.904568
USP,svm,1.000000,scale,42,2,0.923077,0.912217,0.904568
USP,svm,10.000000,scale,42,2,0.923077,0.928781,0.903941
