ratio,method,OA_mean,OA_std,,,macro_F1_mean,macro_F1_std,kappa_mean,kappa_std
0.5,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.9076,0.0472,0.9203,0.0458,0.9064,0.0495,0.8849,0.0585
0.5,A2: Global TruncSVD (SNV-Pre),0.9034,0.0549,0.9185,0.0502,0.9047,0.0542,0.8799,0.0677
0.5,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.7944,0.0836,0.8182,0.0816,0.7814,0.0912,0.7472,0.1006
0.5,A3: Global TruncSVD (MSC-Pre),0.7975,0.0835,0.8195,0.0808,0.7821,0.0886,0.751,0.1006
0.5,A: Global TruncSVD,0.946,0.0414,0.9466,0.0454,0.9399,0.0449,0.9323,0.0522
0.5,A_L2: L2 row norm (no SNV),0.9408,0.0547,0.9393,0.0582,0.933,0.0625,0.9259,0.0686
0.5,A_drop1: Drop PC1 (PC2–PC20),0.9325,0.0304,0.9311,0.0362,0.9234,0.0338,0.9154,0.038
0.5,A_drop1_scale: Drop PC1 + Scale (no SNV),0.7878,0.0715,0.7457,0.0929,0.7493,0.0939,0.7291,0.0928
0.5,F: PLS-DA,0.7916,0.0591,0.746,0.071,0.7373,0.0794,0.7364,0.0746
1,A*: Global TruncSVD (Centered),0.8385,0.0689,0.8379,0.0753,0.8452,0.0714,0.7942,0.0885
1,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.9307,0.0403,0.9442,0.0386,0.9315,0.0431,0.9135,0.0502
1,A2: Global TruncSVD (SNV-Pre),0.9317,0.0347,0.9468,0.032,0.9333,0.0369,0.9149,0.0431
1,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.8497,0.0429,0.8709,0.0425,0.8423,0.0471,0.8143,0.0521
1,A3: Global TruncSVD (MSC-Pre),0.8559,0.036,0.875,0.043,0.8463,0.0419,0.8216,0.044
1,A: Global TruncSVD,0.969,0.0246,0.9708,0.0283,0.9654,0.0305,0.9612,0.0308
1,A_L2: L2 row norm (no SNV),0.97,0.0255,0.9704,0.0306,0.965,0.0325,0.9624,0.0319
1,A_drop1: Drop PC1 (PC2–PC20),0.9545,0.026,0.9562,0.0312,0.9503,0.0322,0.9429,0.0326
1,A_drop1_scale: Drop PC1 + Scale (no SNV),0.8622,0.0436,0.8325,0.057,0.8353,0.052,0.8255,0.0551
1,F: PLS-DA,0.8041,0.0526,0.7591,0.0672,0.7521,0.0694,0.7519,0.068
