condition,seed,fold,method,classifier,OA,macro_F1,kappa
Turbid,42,1,A_log (log+USP),svm,0.968254,0.968695,0.961424
Turbid,42,1,A2 (SNV-Pre),svm,0.976190,0.978777,0.970950
Turbid,42,2,A (USP),svm,0.968254,0.970481,0.961264
Turbid,42,2,A_log (log+USP),svm,0.968254,0.970481,0.961264
Turbid,42,2,A2 (SNV-Pre),svm,0.968254,0.971020,0.961222
Turbid,42,3,A (USP),svm,0.976190,0.976578,0.970876
Turbid,42,3,A_log (log+USP),svm,0.968254,0.967091,0.961126
Turbid,42,3,A2 (SNV-Pre),svm,0.976190,0.973852,0.970878
Turbid,42,4,A (USP),svm,0.984127,0.987679,0.980687
Turbid,42,4,A_log (log+USP),svm,0.968254,0.972781,0.961332
Turbid,42,4,A2 (SNV-Pre),svm,0.968254,0.973726,0.961246
Turbid,43,0,A (USP),svm,0.952756,0.955057,0.942408
Turbid,43,0,A_log (log+USP),svm,0.929134,0.926331,0.913970
Turbid,43,0,A2 (SNV-Pre),svm,0.929134,0.931033,0.913957
Turbid,43,1,A (USP),svm,0.976190,0.977278,0.971019
Turbid,43,1,A_log (log+USP),svm,0.960317,0.961741,0.951643
Turbid,43,1,A2 (SNV-Pre),svm,0.984127,0.982842,0.980632
Turbid,43,2,A (USP),svm,0.984127,0.982091,0.980621
Turbid,43,2,A_log (log+USP),svm,0.984127,0.981971,0.980612
Turbid,43,2,A2 (SNV-Pre),svm,0.984127,0.981178,0.980606
Turbid,43,3,A (USP),svm,0.976190,0.976151,0.970887
Turbid,43,3,A_log (log+USP),svm,0.968254,0.972668,0.961129
Turbid,43,3,A2 (SNV-Pre),svm,0.952381,0.952320,0.941761
Turbid,43,4,A (USP),svm,0.976190,0.979112,0.971070
Turbid,43,4,A_log (log+USP),svm,0.952381,0.955444,0.942352
Turbid,43,4,A2 (SNV-Pre),svm,0.968254,0.972380,0.961465
Turbid,44,0,A (USP),svm,0.952756,0.958098,0.942412
Turbid,44,0,A_log (log+USP),svm,0.944882,0.949356,0.932845
Turbid,44,0,A2 (SNV-Pre),svm,0.944882,0.949180,0.932956
Turbid,44,1,A (USP),svm,0.976190,0.979371,0.970988
Turbid,44,1,A_log (log+USP),svm,0.984127,0.982917,0.980648
Turbid,44,1,A2 (SNV-Pre),svm,0.952381,0.953696,0.941958
Turbid,44,2,A (USP),svm,0.984127,0.982874,0.980633
Turbid,44,2,A_log (log+USP),svm,0.976190,0.974411,0.970992
Turbid,44,2,A2 (SNV-Pre),svm,0.992063,0.988283,0.990304
Turbid,44,3,A (USP),svm,0.976190,0.975136,0.970954
Turbid,44,3,A_log (log+USP),svm,0.984127,0.984724,0.980596
Turbid,44,3,A2 (SNV-Pre),svm,0.968254,0.969039,0.961249
Turbid,44,4,A (USP),svm,0.976190,0.976882,0.971037
Turbid,44,4,A_log (log+USP),svm,0.960317,0.962392,0.951661
Turbid,44,4,A2 (SNV-Pre),svm,0.936508,0.936882,0.922759
Turbid,45,0,A (USP),svm,1.000000,1.000000,1.000000
Turbid,45,0,A_log (log+USP),svm,0.992126,0.992593,0.990409
Turbid,45,0,A2 (SNV-Pre),svm,0.944882,0.948787,0.932911
Turbid,45,1,A (USP),svm,0.984127,0.985296,0.980701
Turbid,45,1,A_log (log+USP),svm,0.984127,0.985296,0.980701
Turbid,45,1,A2 (SNV-Pre),svm,0.976190,0.974277,0.970968
Turbid,45,2,A (USP),svm,0.968254,0.965633,0.961299
Turbid,45,2,A_log (log+USP),svm,0.960317,0.959672,0.951527
Turbid,45,2,A2 (SNV-Pre),svm,0.952381,0.952308,0.941806
Turbid,45,3,A (USP),svm,0.952381,0.960413,0.941635
Turbid,45,3,A_log (log+USP),svm,0.944444,0.949638,0.931902
Turbid,45,3,A2 (SNV-Pre),svm,0.952381,0.950918,0.941770
Turbid,45,4,A (USP),svm,0.984127,0.985343,0.980667
Turbid,45,4,A_log (log+USP),svm,0.960317,0.959167,0.951787
Turbid,45,4,A2 (SNV-Pre),svm,0.984127,0.985274,0.980681
Turbid,46,0,A (USP),svm,0.952756,0.955952,0.942425
Turbid,46,0,A_log (log+USP),svm,0.968504,0.970627,0.961568
Turbid,46,0,A2 (SNV-Pre),svm,0.944882,0.947095,0.932621
Turbid,46,1,A (USP),svm,1.000000,1.000000,1.000000
Turbid,46,1,A_log (log+USP),svm,0.984127,0.983760,0.980699
Turbid,46,1,A2 (SNV-Pre),svm,0.976190,0.980433,0.971003
Turbid,46,2,A (USP),svm,0.968254,0.974003,0.961201
Turbid,46,2,A_log (log+USP),svm,0.976190,0.976733,0.970885
Turbid,46,2,A2 (SNV-Pre),svm,0.960317,0.963491,0.951434
Turbid,46,3,A (USP),svm,0.968254,0.973355,0.961183
Turbid,46,3,A_log (log+USP),svm,0.960317,0.967082,0.951445
Turbid,46,3,A2 (SNV-Pre),svm,0.968254,0.973355,0.961183
Turbid,46,4,A (USP),svm,0.976190,0.975724,0.971019
Turbid,46,4,A_log (log+USP),svm,0.952381,0.951967,0.942180
Turbid,46,4,A2 (SNV-Pre),svm,0.960317,0.952111,0.951691
Foamy,42,0,A (USP),svm,0.920000,0.897221,0.897119
Foamy,42,0,A_log (log+USP),svm,0.920000,0.898828,0.896907
Foamy,42,0,A2 (SNV-Pre),svm,0.860000,0.793519,0.822874
Foamy,42,1,A (USP),svm,0.918367,0.949206,0.893478
Foamy,42,1,A_log (log+USP),svm,0.918367,0.948743,0.893013
Foamy,42,1,A2 (SNV-Pre),svm,0.755102,0.717563,0.689218
Foamy,42,2,A (USP),svm,0.979592,0.975734,0.973209
Foamy,42,2,A_log (log+USP),svm,0.959184,0.794253,0.946301
Foamy,42,2,A2 (SNV-Pre),svm,0.979592,0.825397,0.973209
Foamy,42,3,A (USP),svm,0.959184,0.924603,0.946594
Foamy,42,3,A_log (log+USP),svm,0.959184,0.924959,0.946536
Foamy,42,3,A2 (SNV-Pre),svm,0.857143,0.820351,0.814193
Foamy,42,4,A (USP),svm,0.918367,0.904628,0.894340
Foamy,42,4,A_log (log+USP),svm,0.897959,0.882862,0.868492
Foamy,42,4,A2 (SNV-Pre),svm,0.877551,0.822713,0.843866
Foamy,43,0,A (USP),svm,0.920000,0.901025,0.896694
Foamy,43,0,A_log (log+USP),svm,0.920000,0.901025,0.896694
Foamy,43,0,A2 (SNV-Pre),svm,0.880000,0.839153,0.847561
Foamy,43,1,A (USP),svm,0.938776,0.910245,0.919716
Foamy,43,1,A_log (log+USP),svm,0.959184,0.931132,0.946183
Foamy,43,1,A2 (SNV-Pre),svm,0.836735,0.773539,0.788679
Foamy,43,2,A (USP),svm,0.938776,0.950833,0.919496
Foamy,43,2,A_log (log+USP),svm,0.938776,0.950833,0.919496
Foamy,43,2,A2 (SNV-Pre),svm,0.938776,0.950092,0.919408
Foamy,43,3,A (USP),svm,0.959184,0.923120,0.946652
Foamy,43,3,A_log (log+USP),svm,0.959184,0.923120,0.946652
Foamy,43,3,A2 (SNV-Pre),svm,0.897959,0.787164,0.866485
Foamy,43,4,A (USP),svm,0.938776,0.962002,0.921390
Foamy,43,4,A_log (log+USP),svm,0.897959,0.928176,0.869611
Foamy,43,4,A2 (SNV-Pre),svm,0.857143,0.829942,0.820981
Foamy,44,0,A (USP),svm,0.980000,0.985481,0.974333
Foamy,44,0,A_log (log+USP),svm,0.980000,0.985481,0.974333
Foamy,44,0,A2 (SNV-Pre),svm,0.860000,0.832892,0.821611
Foamy,44,1,A (USP),svm,0.918367,0.932177,0.893767
Foamy,44,1,A_log (log+USP),svm,0.959184,0.974370,0.946594
Foamy,44,1,A2 (SNV-Pre),svm,0.897959,0.869981,0.868067
Foamy,44,2,A (USP),svm,0.857143,0.736740,0.811331
Foamy,44,2,A_log (log+USP),svm,0.836735,0.712143,0.783903
Foamy,44,2,A2 (SNV-Pre),svm,0.734694,0.670210,0.660809
Foamy,44,3,A (USP),svm,0.897959,0.849512,0.869194
Foamy,44,3,A_log (log+USP),svm,0.918367,0.871764,0.894453
Foamy,44,3,A2 (SNV-Pre),svm,0.959184,0.902754,0.947027
Foamy,44,4,A (USP),svm,0.979592,0.968944,0.973698
Foamy,44,4,A_log (log+USP),svm,0.979592,0.968944,0.973698
Foamy,44,4,A2 (SNV-Pre),svm,0.897959,0.856039,0.868209
Foamy,45,0,A (USP),svm,0.920000,0.918594,0.896373
Foamy,45,0,A_log (log+USP),svm,0.860000,0.845037,0.818087
Foamy,45,0,A2 (SNV-Pre),svm,0.900000,0.849875,0.871531
Foamy,45,1,A (USP),svm,0.897959,0.912052,0.866992
Foamy,45,1,A_log (log+USP),svm,0.897959,0.899927,0.867137
Foamy,45,1,A2 (SNV-Pre),svm,0.918367,0.863228,0.894283
Foamy,45,2,A (USP),svm,0.959184,0.810920,0.946301
Foamy,45,2,A_log (log+USP),svm,0.959184,0.810920,0.946301
Foamy,45,2,A2 (SNV-Pre),svm,0.795918,0.679553,0.739362
Foamy,45,3,A (USP),svm,0.918367,0.949089,0.894283
