ratio,method,ID_mean,ID_std,OOD-Turbid_mean,OOD-Turbid_std,OOD-Foamy_mean,OOD-Foamy_std,ID-IllumShift_mean,ID-IllumShift_std,ID-SensorDrift_mean,ID-SensorDrift_std,ID-BandShift_mean,ID-BandShift_std,OOD-IllumShift_mean,OOD-IllumShift_std,OOD-SensorDrift_mean,OOD-SensorDrift_std,OOD-BandShift_mean,OOD-BandShift_std
0.01,A*: Global TruncSVD (Centered),0.3893387314439946,0.1323132273568093,0.3611223597050369,0.07822104802828077,0.31719183673469387,0.14310577586116421,0.37074224021592445,0.13007886267041208,0.3923886639676113,0.12740149315104324,0.3851821862348178,0.1322540956322963,0.34490688663917013,0.07263688292297735,0.35698787651543556,0.07954648917875778,0.3598600174978127,0.08149282914130283
0.01,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.533306342780027,0.13593559121662732,0.5828046494188226,0.10563557628322982,0.5220571428571429,0.10319654886086552,0.5312280701754386,0.13158493359855852,0.25889338731443995,0.09189549322242105,0.4940890688259109,0.11188323658181643,0.5821722284714411,0.1048501229856771,0.2837020372453443,0.07367505908294468,0.5476615423072116,0.0979808111185607
0.01,A2: Global TruncSVD (SNV-Pre),0.5420782726045884,0.11866141039282127,0.6069391326084239,0.08611628264038786,0.5352,0.1290348671705329,0.5378947368421053,0.1140230557925431,0.27527665317139,0.15367310883428942,0.5099865047233468,0.11074523930841061,0.6059892513435821,0.08633735827906666,0.28874890638670164,0.11528341790768726,0.5949356330458693,0.08398679993865303
0.01,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.5103643724696356,0.12425199004987734,0.572670916135483,0.10090603230184222,0.5057959183673469,0.10015634037347211,0.5103643724696356,0.12425199004987734,0.3438056680161943,0.12425034717631726,0.46912280701754383,0.11152301669114867,0.572670916135483,0.10090603230184222,0.45838770153730785,0.11836992611385029,0.5286139232595926,0.10185578507519118
0.01,A3: Global TruncSVD (MSC-Pre),0.5416194331983806,0.11165909589063307,0.6161104861892264,0.09045384324114468,0.5375673469387755,0.13035612004870517,0.5416194331983806,0.11165909589063307,0.38526315789473686,0.11835574978346007,0.5239946018893388,0.10130863825261574,0.6161104861892264,0.09045384324114468,0.5226596675415573,0.12049935688536989,0.6015723034620672,0.08402807518118548
0.01,A: Global TruncSVD,0.5493657219973009,0.11874065037780486,0.5888913885764279,0.0910848766485151,0.5236897959183673,0.1592093333583331,0.5462348178137651,0.11623743390107717,0.48331983805668016,0.14185020892785977,0.54,0.1177210742929291,0.5879415073115861,0.09101208887007746,0.5489488813898263,0.10010751303170673,0.5828846394200725,0.08433569294990532
0.01,A_L2: L2 row norm (no SNV),0.5455330634278003,0.1233383753160735,0.6117085364329459,0.09793263868612047,0.5505632653061224,0.15686455256776075,0.5434278002699056,0.12177989896788406,0.463778677462888,0.1354617762356359,0.5197570850202429,0.1152466732859894,0.6110761154855643,0.09728293194025828,0.5464291963504562,0.1004276162775735,0.6041094863142107,0.0894317211600885
0.01,A_drop1: Drop PC1 (PC2–PC20),0.5670175438596491,0.11311853001931499,0.5847269091363579,0.0676501753258893,0.5592489795918367,0.13437235796278446,0.5638866396761134,0.11204275487260644,0.5130094466936572,0.13603640505605996,0.5649392712550607,0.11343632314148352,0.5840944881889764,0.06729833440599818,0.5542432195975503,0.09847042220775028,0.5844094488188977,0.07351085455893283
0.01,A_drop1_scale: Drop PC1 + Scale (no SNV),0.4449392712550608,0.13107884475866396,0.5004574428196475,0.09200452413715807,0.4723591836734694,0.16147816605317827,0.42736842105263156,0.12810015353341017,0.39838056680161943,0.1292025915744374,0.43981106612685555,0.12472549040098453,0.4871491063617048,0.08166419613168682,0.42783402074740656,0.10036397710183709,0.49885014373203346,0.10171478463562293
0.01,F: PLS-DA,0.4845344129554656,0.12676837168082195,0.5663317085364329,0.0881136017859377,0.5277224489795919,0.13961614738382255,0.4845344129554656,0.12392727442478636,0.2897975708502024,0.09937947292151951,0.4773549257759784,0.12345137024148559,0.565381827271591,0.08749107862173276,0.32893388326459194,0.07960953571490098,0.5584151981002374,0.08867873351537081
0.1,A*: Global TruncSVD (Centered),0.7472064777327936,0.0855074882054786,0.7219997500312461,0.04258407087452633,0.6967673469387755,0.07826283776895031,0.7057219973009446,0.08942558290813966,0.7047773279352226,0.07996120343436533,0.7377327935222673,0.08109894965607088,0.6852193475815522,0.041754195675694786,0.6747706536682915,0.06841292129889559,0.7140707411573552,0.04605187795412124
0.1,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.8137921727395411,0.07484772507477097,0.8751331083614547,0.037537993179131,0.7927020408163266,0.05643725191872091,0.8106882591093119,0.07285681047008315,0.2869635627530364,0.14252452974846783,0.4775708502024292,0.11624007134215883,0.873233345831771,0.03681031321146231,0.3070991126109236,0.10136754207312396,0.5759355080614923,0.10711194271123721
