seed,fold,ratio,method,classifier,condition,OA,macro_F1,kappa
42,3,1.000000,EMSC,svm,BandShift,0.710526,0.724046,0.644860
42,3,1.000000,EMSC,rbf_svm,Normal,0.973684,0.978408,0.966957
42,3,1.000000,EMSC,rbf_svm,BandShift,0.789474,0.707306,0.726864
42,3,1.000000,Detrend,svm,Normal,0.815789,0.802098,0.769896
42,3,1.000000,Detrend,svm,BandShift,0.421053,0.357143,0.316435
42,3,1.000000,Detrend,rbf_svm,Normal,0.815789,0.774322,0.769097
42,3,1.000000,Detrend,rbf_svm,BandShift,0.394737,0.230348,0.274086
42,4,1.000000,USP,svm,Normal,0.973684,0.979243,0.966985
42,4,1.000000,USP,svm,BandShift,0.973684,0.979243,0.966985
42,4,1.000000,USP,rbf_svm,Normal,0.921053,0.931356,0.901978
42,4,1.000000,USP,rbf_svm,BandShift,0.894737,0.924002,0.868739
42,4,1.000000,SNV,svm,Normal,0.921053,0.932233,0.901893
42,4,1.000000,SNV,svm,BandShift,0.684211,0.583442,0.613559
42,4,1.000000,SNV,rbf_svm,Normal,0.921053,0.932233,0.901893
42,4,1.000000,SNV,rbf_svm,BandShift,0.315789,0.183575,0.081784
42,4,1.000000,SG1,svm,Normal,0.842105,0.806118,0.796610
42,4,1.000000,SG1,svm,BandShift,0.210526,0.057971,-0.058496
42,4,1.000000,SG1,rbf_svm,Normal,0.763158,0.742504,0.693823
42,4,1.000000,SG1,rbf_svm,BandShift,0.131579,0.062823,0.024883
42,4,1.000000,EMSC,svm,Normal,0.868421,0.888499,0.838022
42,4,1.000000,EMSC,svm,BandShift,0.789474,0.823685,0.743026
42,4,1.000000,EMSC,rbf_svm,Normal,0.868421,0.894006,0.837884
42,4,1.000000,EMSC,rbf_svm,BandShift,0.710526,0.563808,0.625448
42,4,1.000000,Detrend,svm,Normal,0.763158,0.780775,0.697880
42,4,1.000000,Detrend,svm,BandShift,0.263158,0.069444,0.000000
42,4,1.000000,Detrend,rbf_svm,Normal,0.763158,0.752958,0.694643
42,4,1.000000,Detrend,rbf_svm,BandShift,0.315789,0.203464,0.182796
43,0,1.000000,USP,svm,Normal,0.948718,0.919769,0.935323
43,0,1.000000,USP,svm,BandShift,0.923077,0.903793,0.902985
43,0,1.000000,USP,rbf_svm,Normal,0.897436,0.880433,0.871393
43,0,1.000000,USP,rbf_svm,BandShift,0.923077,0.906227,0.902905
43,0,1.000000,SNV,svm,Normal,0.794872,0.790079,0.742998
43,0,1.000000,SNV,svm,BandShift,0.692308,0.503741,0.617021
43,0,1.000000,SNV,rbf_svm,Normal,0.923077,0.924171,0.902256
43,0,1.000000,SNV,rbf_svm,BandShift,0.384615,0.232488,0.156757
43,0,1.000000,SG1,svm,Normal,0.794872,0.752930,0.731959
43,0,1.000000,SG1,svm,BandShift,0.179487,0.073260,0.018868
43,0,1.000000,SG1,rbf_svm,Normal,0.743590,0.703439,0.666951
43,0,1.000000,SG1,rbf_svm,BandShift,0.153846,0.065324,0.020548
43,0,1.000000,EMSC,svm,Normal,0.769231,0.772807,0.714169
43,0,1.000000,EMSC,svm,BandShift,0.666667,0.679887,0.586122
43,0,1.000000,EMSC,rbf_svm,Normal,0.846154,0.808730,0.807882
43,0,1.000000,EMSC,rbf_svm,BandShift,0.666667,0.491925,0.559130
43,0,1.000000,Detrend,svm,Normal,0.820513,0.788731,0.766667
43,0,1.000000,Detrend,svm,BandShift,0.358974,0.212295,0.200820
