condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Normal,SNV,2,44,SNV,A2_noPostSNV,rf,0.833333,0.562963,0.586207
BandShift,SNV,2,44,SNV,A2_noPostSNV,rf,0.833333,0.577381,0.647059
Normal,SG1,2,44,SG1,A2_noPostSNV,svm,0.833333,0.847222,0.657143
BandShift,SG1,2,44,SG1,A2_noPostSNV,svm,0.083333,0.051282,0.000000
Normal,SG1,2,44,SG1,A2_noPostSNV,rbf_svm,0.500000,0.305556,0.013699
BandShift,SG1,2,44,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,2,44,SG1,A2_noPostSNV,rf,0.833333,0.577381,0.647059
BandShift,SG1,2,44,SG1,A2_noPostSNV,rf,0.750000,0.611111,0.555556
Normal,EMSC,2,44,EMSC,A2_noPostSNV,svm,0.916667,0.930159,0.840000
BandShift,EMSC,2,44,EMSC,A2_noPostSNV,svm,0.166667,0.227273,0.024390
Normal,EMSC,2,44,EMSC,A2_noPostSNV,rbf_svm,0.833333,0.847222,0.657143
BandShift,EMSC,2,44,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,2,44,EMSC,A2_noPostSNV,rf,0.916667,0.647059,0.809524
BandShift,EMSC,2,44,EMSC,A2_noPostSNV,rf,0.666667,0.266667,0.000000
Normal,Detrend,2,44,Detrend,A2_noPostSNV,svm,0.750000,0.516667,0.506849
BandShift,Detrend,2,44,Detrend,A2_noPostSNV,svm,0.166667,0.222222,0.076923
Normal,Detrend,2,44,Detrend,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
BandShift,Detrend,2,44,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,2,44,Detrend,A2_noPostSNV,rf,0.833333,0.577381,0.647059
BandShift,Detrend,2,44,Detrend,A2_noPostSNV,rf,0.916667,0.930159,0.840000
Normal,USP,3,45,none,A_postSNV,svm,0.833333,0.847222,0.657143
BandShift,USP,3,45,none,A_postSNV,svm,0.750000,0.811966,0.576471
Normal,USP,3,45,none,A_postSNV,rbf_svm,0.750000,0.647222,0.500000
BandShift,USP,3,45,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,3,45,none,A_postSNV,rf,0.833333,0.562963,0.586207
BandShift,USP,3,45,none,A_postSNV,rf,0.833333,0.561111,0.671233
Normal,SNV,3,45,SNV,A2_noPostSNV,svm,0.750000,0.541176,0.446154
BandShift,SNV,3,45,SNV,A2_noPostSNV,svm,0.416667,0.474074,0.263158
Normal,SNV,3,45,SNV,A2_noPostSNV,rbf_svm,0.750000,0.482143,0.470588
BandShift,SNV,3,45,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,3,45,SNV,A2_noPostSNV,rf,0.750000,0.447368,0.320755
BandShift,SNV,3,45,SNV,A2_noPostSNV,rf,0.750000,0.700000,0.544304
Normal,SG1,3,45,SG1,A2_noPostSNV,svm,0.666667,0.440476,0.294118
BandShift,SG1,3,45,SG1,A2_noPostSNV,svm,0.250000,0.264550,0.129032
Normal,SG1,3,45,SG1,A2_noPostSNV,rbf_svm,0.750000,0.482143,0.470588
BandShift,SG1,3,45,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
