condition,method,component,importance
Foamy,SG1,PC16,0.013274
Foamy,SG1,PC17,0.017568
Foamy,SG1,PC18,0.013144
Foamy,SG1,PC19,0.026396
Foamy,SG1,PC20,0.012086
Foamy,EMSC,PC1,0.144767
Foamy,EMSC,PC2,0.120027
Foamy,EMSC,PC3,0.150007
Foamy,EMSC,PC4,0.190716
Foamy,EMSC,PC5,0.026498
Foamy,EMSC,PC6,0.028659
Foamy,EMSC,PC7,0.024430
Foamy,EMSC,PC8,0.018771
Foamy,EMSC,PC9,0.015621
Foamy,EMSC,PC10,0.025699
Foamy,EMSC,PC11,0.019113
Foamy,EMSC,PC12,0.017273
Foamy,EMSC,PC13,0.019476
Foamy,EMSC,PC14,0.021930
Foamy,EMSC,PC15,0.021421
Foamy,EMSC,PC16,0.019430
Foamy,EMSC,PC17,0.021681
Foamy,EMSC,PC18,0.040685
Foamy,EMSC,PC19,0.051724
Foamy,EMSC,PC20,0.022071
Foamy,Detrend,PC1,0.097369
Foamy,Detrend,PC2,0.139254
Foamy,Detrend,PC3,0.107413
Foamy,Detrend,PC4,0.119240
Foamy,Detrend,PC5,0.138169
Foamy,Detrend,PC6,0.034092
Foamy,Detrend,PC7,0.033327
Foamy,Detrend,PC8,0.056420
Foamy,Detrend,PC9,0.030736
Foamy,Detrend,PC10,0.036572
Foamy,Detrend,PC11,0.022550
Foamy,Detrend,PC12,0.025699
Foamy,Detrend,PC13,0.016030
Foamy,Detrend,PC14,0.019375
Foamy,Detrend,PC15,0.027911
Foamy,Detrend,PC16,0.016332
Foamy,Detrend,PC17,0.020000
Foamy,Detrend,PC18,0.027543
Foamy,Detrend,PC19,0.015414
Foamy,Detrend,PC20,0.016555
