condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Foamy,SG1,7,49,SG1,A2_noPostSNV,rf,0.820000,0.709822,0.761905
Foamy,EMSC,7,49,EMSC,A2_noPostSNV,svm,0.860000,0.826475,0.820329
Foamy,EMSC,7,49,EMSC,A2_noPostSNV,rbf_svm,0.880000,0.864616,0.843014
Foamy,EMSC,7,49,EMSC,A2_noPostSNV,rf,0.940000,0.910920,0.921956
Foamy,Detrend,7,49,Detrend,A2_noPostSNV,svm,0.780000,0.650946,0.719245
Foamy,Detrend,7,49,Detrend,A2_noPostSNV,rbf_svm,0.800000,0.680365,0.737808
Foamy,Detrend,7,49,Detrend,A2_noPostSNV,rf,0.860000,0.830526,0.819121
Foamy,USP,8,50,none,A_postSNV,svm,0.940000,0.883070,0.921916
Foamy,USP,8,50,none,A_postSNV,rbf_svm,0.900000,0.856945,0.869588
Foamy,USP,8,50,none,A_postSNV,rf,0.880000,0.849535,0.842685
Foamy,SNV,8,50,SNV,A2_noPostSNV,svm,0.900000,0.829365,0.871795
Foamy,SNV,8,50,SNV,A2_noPostSNV,rbf_svm,0.900000,0.873788,0.869041
Foamy,SNV,8,50,SNV,A2_noPostSNV,rf,0.900000,0.860464,0.869859
Foamy,SG1,8,50,SG1,A2_noPostSNV,svm,0.820000,0.666935,0.768280
Foamy,SG1,8,50,SG1,A2_noPostSNV,rbf_svm,0.840000,0.697480,0.791341
Foamy,SG1,8,50,SG1,A2_noPostSNV,rf,0.900000,0.763492,0.868697
Foamy,EMSC,8,50,EMSC,A2_noPostSNV,svm,0.860000,0.794972,0.821792
Foamy,EMSC,8,50,EMSC,A2_noPostSNV,rbf_svm,0.900000,0.870598,0.869315
Foamy,EMSC,8,50,EMSC,A2_noPostSNV,rf,0.880000,0.856205,0.843913
Foamy,Detrend,8,50,Detrend,A2_noPostSNV,svm,0.820000,0.683466,0.767442
Foamy,Detrend,8,50,Detrend,A2_noPostSNV,rbf_svm,0.820000,0.680639,0.766476
Foamy,Detrend,8,50,Detrend,A2_noPostSNV,rf,0.900000,0.871117,0.868766
Foamy,USP,9,51,none,A_postSNV,svm,0.920000,0.871959,0.895942
Foamy,USP,9,51,none,A_postSNV,rbf_svm,0.900000,0.860783,0.869995
Foamy,USP,9,51,none,A_postSNV,rf,0.860000,0.829063,0.816562
Foamy,SNV,9,51,SNV,A2_noPostSNV,svm,0.840000,0.774500,0.795606
Foamy,SNV,9,51,SNV,A2_noPostSNV,rbf_svm,0.900000,0.850752,0.869792
Foamy,SNV,9,51,SNV,A2_noPostSNV,rf,0.920000,0.881746,0.895397
Foamy,SG1,9,51,SG1,A2_noPostSNV,svm,0.820000,0.785403,0.765381
Foamy,SG1,9,51,SG1,A2_noPostSNV,rbf_svm,0.860000,0.838360,0.815498
Foamy,SG1,9,51,SG1,A2_noPostSNV,rf,0.900000,0.856431,0.868973
Foamy,EMSC,9,51,EMSC,A2_noPostSNV,svm,0.900000,0.860194,0.870130
Foamy,EMSC,9,51,EMSC,A2_noPostSNV,rbf_svm,0.900000,0.870598,0.869178
Foamy,EMSC,9,51,EMSC,A2_noPostSNV,rf,0.860000,0.823071,0.818559
Foamy,Detrend,9,51,Detrend,A2_noPostSNV,svm,0.740000,0.713826,0.669379
Foamy,Detrend,9,51,Detrend,A2_noPostSNV,rbf_svm,0.860000,0.834484,0.815886
Foamy,Detrend,9,51,Detrend,A2_noPostSNV,rf,0.860000,0.830708,0.816176
Foamy,USP,10,52,none,A_postSNV,svm,0.940000,0.929894,0.921671
Foamy,USP,10,52,none,A_postSNV,rbf_svm,0.900000,0.908267,0.869588
Foamy,USP,10,52,none,A_postSNV,rf,0.840000,0.854220,0.789363
Foamy,SNV,10,52,SNV,A2_noPostSNV,svm,0.820000,0.797074,0.772152
Foamy,SNV,10,52,SNV,A2_noPostSNV,rbf_svm,0.880000,0.850279,0.842685
Foamy,SNV,10,52,SNV,A2_noPostSNV,rf,0.880000,0.882315,0.843587
Foamy,SG1,10,52,SG1,A2_noPostSNV,svm,0.760000,0.630159,0.693721
Foamy,SG1,10,52,SG1,A2_noPostSNV,rbf_svm,0.820000,0.772572,0.763531
Foamy,SG1,10,52,SG1,A2_noPostSNV,rf,0.900000,0.858210,0.868628
Foamy,EMSC,10,52,EMSC,A2_noPostSNV,svm,0.860000,0.806330,0.821063
Foamy,EMSC,10,52,EMSC,A2_noPostSNV,rbf_svm,0.880000,0.879156,0.841605
Foamy,EMSC,10,52,EMSC,A2_noPostSNV,rf,0.860000,0.849724,0.818182
Foamy,Detrend,10,52,Detrend,A2_noPostSNV,svm,0.860000,0.790536,0.820421
Foamy,Detrend,10,52,Detrend,A2_noPostSNV,rbf_svm,0.780000,0.653234,0.712193
Foamy,Detrend,10,52,Detrend,A2_noPostSNV,rf,0.860000,0.869366,0.816466
Foamy,USP,11,53,none,A_postSNV,svm,0.960000,0.974370,0.948213
Foamy,USP,11,53,none,A_postSNV,rbf_svm,0.920000,0.899345,0.895561
Foamy,USP,11,53,none,A_postSNV,rf,0.900000,0.782870,0.868559
Foamy,SNV,11,53,SNV,A2_noPostSNV,svm,0.900000,0.884577,0.870062
Foamy,SNV,11,53,SNV,A2_noPostSNV,rbf_svm,0.960000,0.924561,0.947862
Foamy,SNV,11,53,SNV,A2_noPostSNV,rf,0.940000,0.913055,0.921753
Foamy,SG1,11,53,SG1,A2_noPostSNV,svm,0.920000,0.896252,0.895779
Foamy,SG1,11,53,SG1,A2_noPostSNV,rbf_svm,0.900000,0.773083,0.869247
Foamy,SG1,11,53,SG1,A2_noPostSNV,rf,0.940000,0.910920,0.921997
Foamy,EMSC,11,53,EMSC,A2_noPostSNV,svm,0.920000,0.896740,0.896104
Foamy,EMSC,11,53,EMSC,A2_noPostSNV,rbf_svm,0.920000,0.898268,0.895397
Foamy,EMSC,11,53,EMSC,A2_noPostSNV,rf,0.900000,0.885714,0.870197
Foamy,Detrend,11,53,Detrend,A2_noPostSNV,svm,0.880000,0.790956,0.847173
Foamy,Detrend,11,53,Detrend,A2_noPostSNV,rbf_svm,0.880000,0.756826,0.842685
Foamy,Detrend,11,53,Detrend,A2_noPostSNV,rf,0.940000,0.910920,0.921997
Foamy,USP,12,54,none,A_postSNV,svm,0.860000,0.879860,0.818087
Foamy,USP,12,54,none,A_postSNV,rbf_svm,0.840000,0.831746,0.790246
Foamy,USP,12,54,none,A_postSNV,rf,0.820000,0.860649,0.765258
Foamy,SNV,12,54,SNV,A2_noPostSNV,svm,0.800000,0.805707,0.737533
Foamy,SNV,12,54,SNV,A2_noPostSNV,rbf_svm,0.820000,0.822339,0.763033
Foamy,SNV,12,54,SNV,A2_noPostSNV,rf,0.800000,0.809408,0.736981
Foamy,SG1,12,54,SG1,A2_noPostSNV,svm,0.780000,0.762570,0.716641
Foamy,SG1,12,54,SG1,A2_noPostSNV,rbf_svm,0.780000,0.774022,0.713392
Foamy,SG1,12,54,SG1,A2_noPostSNV,rf,0.860000,0.846389,0.816850
Foamy,EMSC,12,54,EMSC,A2_noPostSNV,svm,0.760000,0.762792,0.687663
Foamy,EMSC,12,54,EMSC,A2_noPostSNV,rbf_svm,0.800000,0.811778,0.736287
Foamy,EMSC,12,54,EMSC,A2_noPostSNV,rf,0.780000,0.801169,0.710221
Foamy,Detrend,12,54,Detrend,A2_noPostSNV,svm,0.760000,0.653668,0.688958
Foamy,Detrend,12,54,Detrend,A2_noPostSNV,rbf_svm,0.780000,0.764835,0.714730
Foamy,Detrend,12,54,Detrend,A2_noPostSNV,rf,0.840000,0.831746,0.790246
Foamy,USP,13,55,none,A_postSNV,svm,0.940000,0.963194,0.922360
Foamy,USP,13,55,none,A_postSNV,rbf_svm,0.940000,0.963194,0.922360
Foamy,USP,13,55,none,A_postSNV,rf,0.900000,0.879079,0.868904
Foamy,SNV,13,55,SNV,A2_noPostSNV,svm,0.920000,0.906116,0.897698
Foamy,SNV,13,55,SNV,A2_noPostSNV,rbf_svm,0.860000,0.874012,0.818465
Foamy,SNV,13,55,SNV,A2_noPostSNV,rf,0.900000,0.878803,0.868973
Foamy,SG1,13,55,SG1,A2_noPostSNV,svm,0.800000,0.760403,0.746835
Foamy,SG1,13,55,SG1,A2_noPostSNV,rbf_svm,0.800000,0.775900,0.739176
Foamy,SG1,13,55,SG1,A2_noPostSNV,rf,0.920000,0.939376,0.895888
Foamy,EMSC,13,55,EMSC,A2_noPostSNV,svm,0.860000,0.847665,0.822874
Foamy,EMSC,13,55,EMSC,A2_noPostSNV,rbf_svm,0.900000,0.924888,0.869452
Foamy,EMSC,13,55,EMSC,A2_noPostSNV,rf,0.880000,0.913859,0.843424
Foamy,Detrend,13,55,Detrend,A2_noPostSNV,svm,0.880000,0.868666,0.845838
Foamy,Detrend,13,55,Detrend,A2_noPostSNV,rbf_svm,0.780000,0.754567,0.713243
Foamy,Detrend,13,55,Detrend,A2_noPostSNV,rf,0.900000,0.925806,0.869724
Foamy,USP,14,56,none,A_postSNV,svm,0.940000,0.917799,0.921997
Foamy,USP,14,56,none,A_postSNV,rbf_svm,0.920000,0.856879,0.895343
Foamy,USP,14,56,none,A_postSNV,rf,0.860000,0.715079,0.816562
Foamy,SNV,14,56,SNV,A2_noPostSNV,svm,0.900000,0.845704,0.869041
Foamy,SNV,14,56,SNV,A2_noPostSNV,rbf_svm,0.920000,0.856879,0.895288
Foamy,SNV,14,56,SNV,A2_noPostSNV,rf,0.860000,0.719472,0.815401
Foamy,SG1,14,56,SG1,A2_noPostSNV,svm,0.860000,0.799425,0.817708
Foamy,SG1,14,56,SG1,A2_noPostSNV,rbf_svm,0.860000,0.698704,0.817803
Foamy,SG1,14,56,SG1,A2_noPostSNV,rf,0.920000,0.855656,0.895561
Foamy,EMSC,14,56,EMSC,A2_noPostSNV,svm,0.900000,0.844848,0.869315
Foamy,EMSC,14,56,EMSC,A2_noPostSNV,rbf_svm,0.900000,0.848214,0.868697
Foamy,EMSC,14,56,EMSC,A2_noPostSNV,rf,0.900000,0.845704,0.869041
Foamy,Detrend,14,56,Detrend,A2_noPostSNV,svm,0.860000,0.774003,0.820051
Foamy,Detrend,14,56,Detrend,A2_noPostSNV,rbf_svm,0.820000,0.670966,0.764398
Foamy,Detrend,14,56,Detrend,A2_noPostSNV,rf,0.900000,0.845385,0.869110
Foamy,USP,15,57,none,A_postSNV,svm,1.000000,1.000000,1.000000
Foamy,USP,15,57,none,A_postSNV,rbf_svm,0.960000,0.974370,0.948187
Foamy,USP,15,57,none,A_postSNV,rf,0.880000,0.859854,0.843014
Foamy,SNV,15,57,SNV,A2_noPostSNV,svm,0.920000,0.881281,0.898785
Foamy,SNV,15,57,SNV,A2_noPostSNV,rbf_svm,0.960000,0.964623,0.948079
Foamy,SNV,15,57,SNV,A2_noPostSNV,rf,0.920000,0.936773,0.896587
Foamy,SG1,15,57,SG1,A2_noPostSNV,svm,0.880000,0.829703,0.845917
Foamy,SG1,15,57,SG1,A2_noPostSNV,rbf_svm,0.820000,0.710403,0.760638
Foamy,SG1,15,57,SG1,A2_noPostSNV,rf,0.940000,0.901131,0.921753
Foamy,EMSC,15,57,EMSC,A2_noPostSNV,svm,0.920000,0.912468,0.897907
Foamy,EMSC,15,57,EMSC,A2_noPostSNV,rbf_svm,0.940000,0.963194,0.922240
Foamy,EMSC,15,57,EMSC,A2_noPostSNV,rf,0.940000,0.913492,0.922118
Foamy,Detrend,15,57,Detrend,A2_noPostSNV,svm,0.800000,0.653175,0.744246
Foamy,Detrend,15,57,Detrend,A2_noPostSNV,rbf_svm,0.820000,0.699972,0.767682
Foamy,Detrend,15,57,Detrend,A2_noPostSNV,rf,0.940000,0.950833,0.921956
Foamy,USP,16,58,none,A_postSNV,svm,0.940000,0.943387,0.922400
Foamy,USP,16,58,none,A_postSNV,rbf_svm,0.920000,0.931490,0.896158
Foamy,USP,16,58,none,A_postSNV,rf,0.900000,0.867079,0.868904
Foamy,SNV,16,58,SNV,A2_noPostSNV,svm,0.780000,0.752489,0.724311
Foamy,SNV,16,58,SNV,A2_noPostSNV,rbf_svm,0.860000,0.843489,0.817518
Foamy,SNV,16,58,SNV,A2_noPostSNV,rf,0.920000,0.921209,0.896427
Foamy,SG1,16,58,SG1,A2_noPostSNV,svm,0.840000,0.822477,0.794872
Foamy,SG1,16,58,SG1,A2_noPostSNV,rbf_svm,0.860000,0.834755,0.816850
Foamy,SG1,16,58,SG1,A2_noPostSNV,rf,0.920000,0.931490,0.896158
Foamy,EMSC,16,58,EMSC,A2_noPostSNV,svm,0.820000,0.807997,0.773185
Foamy,EMSC,16,58,EMSC,A2_noPostSNV,rbf_svm,0.940000,0.945196,0.921875
Foamy,EMSC,16,58,EMSC,A2_noPostSNV,rf,0.900000,0.867343,0.869859
Foamy,Detrend,16,58,Detrend,A2_noPostSNV,svm,0.820000,0.792845,0.774210
Foamy,Detrend,16,58,Detrend,A2_noPostSNV,rbf_svm,0.860000,0.792541,0.821155
Foamy,Detrend,16,58,Detrend,A2_noPostSNV,rf,0.920000,0.934680,0.895942
Foamy,USP,17,59,none,A_postSNV,svm,0.960000,0.927586,0.947998
Foamy,USP,17,59,none,A_postSNV,rbf_svm,0.940000,0.901131,0.921794
Foamy,USP,17,59,none,A_postSNV,rf,0.940000,0.811111,0.921466
Foamy,SNV,17,59,SNV,A2_noPostSNV,svm,0.880000,0.812302,0.845361
Foamy,SNV,17,59,SNV,A2_noPostSNV,rbf_svm,0.940000,0.904050,0.921630
Foamy,SNV,17,59,SNV,A2_noPostSNV,rf,0.920000,0.892593,0.895452
Foamy,SG1,17,59,SG1,A2_noPostSNV,svm,0.880000,0.819006,0.843831
Foamy,SG1,17,59,SG1,A2_noPostSNV,rbf_svm,0.920000,0.778124,0.895343
Foamy,SG1,17,59,SG1,A2_noPostSNV,rf,0.940000,0.901131,0.921794
Foamy,EMSC,17,59,EMSC,A2_noPostSNV,svm,0.920000,0.881746,0.896587
Foamy,EMSC,17,59,EMSC,A2_noPostSNV,rbf_svm,0.940000,0.904050,0.921630
Foamy,EMSC,17,59,EMSC,A2_noPostSNV,rf,0.960000,0.927586,0.947998
Foamy,Detrend,17,59,Detrend,A2_noPostSNV,svm,0.880000,0.844246,0.843342
Foamy,Detrend,17,59,Detrend,A2_noPostSNV,rbf_svm,0.900000,0.759909,0.869792
Foamy,Detrend,17,59,Detrend,A2_noPostSNV,rf,0.940000,0.901131,0.921794
Foamy,USP,18,60,none,A_postSNV,svm,0.960000,0.923546,0.948213
Foamy,USP,18,60,none,A_postSNV,rbf_svm,0.920000,0.887897,0.895507
Foamy,USP,18,60,none,A_postSNV,rf,0.920000,0.882468,0.895942
Foamy,SNV,18,60,SNV,A2_noPostSNV,svm,0.900000,0.844729,0.872188
Foamy,SNV,18,60,SNV,A2_noPostSNV,rbf_svm,0.940000,0.875616,0.922037
Foamy,SNV,18,60,SNV,A2_noPostSNV,rf,0.940000,0.905398,0.922280
Foamy,SG1,18,60,SG1,A2_noPostSNV,svm,0.880000,0.817943,0.846311
Foamy,SG1,18,60,SG1,A2_noPostSNV,rbf_svm,0.920000,0.885283,0.895233
Foamy,SG1,18,60,SG1,A2_noPostSNV,rf,0.940000,0.872401,0.921094
Foamy,EMSC,18,60,EMSC,A2_noPostSNV,svm,0.920000,0.867798,0.897488
Foamy,EMSC,18,60,EMSC,A2_noPostSNV,rbf_svm,0.940000,0.898017,0.921507
Foamy,EMSC,18,60,EMSC,A2_noPostSNV,rf,0.900000,0.872760,0.869452
Foamy,Detrend,18,60,Detrend,A2_noPostSNV,svm,0.900000,0.840873,0.870868
Foamy,Detrend,18,60,Detrend,A2_noPostSNV,rbf_svm,0.860000,0.843178,0.817041
Foamy,Detrend,18,60,Detrend,A2_noPostSNV,rf,0.940000,0.898759,0.921589
Foamy,USP,19,61,none,A_postSNV,svm,0.880000,0.858155,0.844318
Foamy,USP,19,61,none,A_postSNV,rbf_svm,0.860000,0.836071,0.817232
Foamy,USP,19,61,none,A_postSNV,rf,0.840000,0.832586,0.791992
Foamy,SNV,19,61,SNV,A2_noPostSNV,svm,0.820000,0.769929,0.770759
Foamy,SNV,19,61,SNV,A2_noPostSNV,rbf_svm,0.820000,0.776381,0.760766
Foamy,SNV,19,61,SNV,A2_noPostSNV,rf,0.820000,0.823262,0.765258
Foamy,SG1,19,61,SG1,A2_noPostSNV,svm,0.820000,0.676770,0.767081
Foamy,SG1,19,61,SG1,A2_noPostSNV,rbf_svm,0.840000,0.736554,0.789363
Foamy,SG1,19,61,SG1,A2_noPostSNV,rf,0.860000,0.745471,0.816466
Foamy,EMSC,19,61,EMSC,A2_noPostSNV,svm,0.820000,0.781746,0.769231
Foamy,EMSC,19,61,EMSC,A2_noPostSNV,rbf_svm,0.840000,0.828761,0.789363
Foamy,EMSC,19,61,EMSC,A2_noPostSNV,rf,0.840000,0.817419,0.791667
Foamy,Detrend,19,61,Detrend,A2_noPostSNV,svm,0.780000,0.656452,0.718670
Foamy,Detrend,19,61,Detrend,A2_noPostSNV,rbf_svm,0.780000,0.678000,0.712944
Foamy,Detrend,19,61,Detrend,A2_noPostSNV,rf,0.900000,0.873347,0.869724
Foamy,USP,20,62,none,A_postSNV,svm,0.960000,0.925014,0.948106
Foamy,USP,20,62,none,A_postSNV,rbf_svm,0.940000,0.913450,0.921794
Foamy,USP,20,62,none,A_postSNV,rf,0.920000,0.902302,0.895670
Foamy,SNV,20,62,SNV,A2_noPostSNV,svm,0.900000,0.858025,0.871531
Foamy,SNV,20,62,SNV,A2_noPostSNV,rbf_svm,0.860000,0.815998,0.816658
Foamy,SNV,20,62,SNV,A2_noPostSNV,rf,0.840000,0.842295,0.790686
Foamy,SG1,20,62,SG1,A2_noPostSNV,svm,0.840000,0.813592,0.794556
Foamy,SG1,20,62,SG1,A2_noPostSNV,rbf_svm,0.880000,0.855595,0.843342
Foamy,SG1,20,62,SG1,A2_noPostSNV,rf,0.920000,0.890574,0.895288
Foamy,EMSC,20,62,EMSC,A2_noPostSNV,svm,0.900000,0.854893,0.871200
Foamy,EMSC,20,62,EMSC,A2_noPostSNV,rbf_svm,0.880000,0.868092,0.842602
Foamy,EMSC,20,62,EMSC,A2_noPostSNV,rf,0.840000,0.831671,0.791341
Foamy,Detrend,20,62,Detrend,A2_noPostSNV,svm,0.900000,0.874625,0.870332
Foamy,Detrend,20,62,Detrend,A2_noPostSNV,rbf_svm,0.860000,0.824985,0.818087
Foamy,Detrend,20,62,Detrend,A2_noPostSNV,rf,0.920000,0.890574,0.895288
Foamy,USP,21,63,none,A_postSNV,svm,0.940000,0.938764,0.921875
Foamy,USP,21,63,none,A_postSNV,rbf_svm,0.860000,0.784332,0.815886
Foamy,USP,21,63,none,A_postSNV,rf,0.840000,0.693668,0.788584
Foamy,SNV,21,63,SNV,A2_noPostSNV,svm,0.900000,0.877495,0.871134
Foamy,SNV,21,63,SNV,A2_noPostSNV,rbf_svm,0.880000,0.850683,0.843831
Foamy,SNV,21,63,SNV,A2_noPostSNV,rf,0.880000,0.858699,0.842105
Foamy,SG1,21,63,SG1,A2_noPostSNV,svm,0.880000,0.857890,0.845041
Foamy,SG1,21,63,SG1,A2_noPostSNV,rbf_svm,0.820000,0.756508,0.765747
Foamy,SG1,21,63,SG1,A2_noPostSNV,rf,0.920000,0.902000,0.895288
Foamy,EMSC,21,63,EMSC,A2_noPostSNV,svm,0.900000,0.887606,0.870466
Foamy,EMSC,21,63,EMSC,A2_noPostSNV,rbf_svm,0.880000,0.882039,0.842354
Foamy,EMSC,21,63,EMSC,A2_noPostSNV,rf,0.880000,0.852367,0.843587
Foamy,Detrend,21,63,Detrend,A2_noPostSNV,svm,0.820000,0.682323,0.765869
Foamy,Detrend,21,63,Detrend,A2_noPostSNV,rbf_svm,0.820000,0.768568,0.765625
Foamy,Detrend,21,63,Detrend,A2_noPostSNV,rf,0.880000,0.868610,0.842271
Foamy,USP,22,64,none,A_postSNV,svm,0.900000,0.866813,0.870600
Foamy,USP,22,64,none,A_postSNV,rbf_svm,0.940000,0.904050,0.921630
Foamy,USP,22,64,none,A_postSNV,rf,0.900000,0.878803,0.868973
Foamy,SNV,22,64,SNV,A2_noPostSNV,svm,0.860000,0.811466,0.819959
Foamy,SNV,22,64,SNV,A2_noPostSNV,rbf_svm,0.840000,0.788655,0.789584
Foamy,SNV,22,64,SNV,A2_noPostSNV,rf,0.880000,0.856197,0.844398
Foamy,SG1,22,64,SG1,A2_noPostSNV,svm,0.880000,0.818519,0.847017
Foamy,SG1,22,64,SG1,A2_noPostSNV,rbf_svm,0.920000,0.889120,0.896373
Foamy,SG1,22,64,SG1,A2_noPostSNV,rf,0.920000,0.889120,0.896373
Foamy,EMSC,22,64,EMSC,A2_noPostSNV,svm,0.880000,0.850549,0.845838
Foamy,EMSC,22,64,EMSC,A2_noPostSNV,rbf_svm,0.860000,0.853241,0.816080
Foamy,EMSC,22,64,EMSC,A2_noPostSNV,rf,0.900000,0.890808,0.869588
Foamy,Detrend,22,64,Detrend,A2_noPostSNV,svm,0.860000,0.798163,0.820236
Foamy,Detrend,22,64,Detrend,A2_noPostSNV,rbf_svm,0.920000,0.899808,0.895996
Foamy,Detrend,22,64,Detrend,A2_noPostSNV,rf,0.960000,0.924549,0.947835
Foamy,USP,23,65,none,A_postSNV,svm,0.960000,0.961598,0.947944
Foamy,USP,23,65,none,A_postSNV,rbf_svm,0.940000,0.947957,0.922118
Foamy,USP,23,65,none,A_postSNV,rf,0.920000,0.886509,0.894848
Foamy,SNV,23,65,SNV,A2_noPostSNV,svm,0.920000,0.905735,0.897278
Foamy,SNV,23,65,SNV,A2_noPostSNV,rbf_svm,0.900000,0.911435,0.868973
Foamy,SNV,23,65,SNV,A2_noPostSNV,rf,0.940000,0.950388,0.921834
Foamy,SG1,23,65,SG1,A2_noPostSNV,svm,0.880000,0.835578,0.846626
Foamy,SG1,23,65,SG1,A2_noPostSNV,rbf_svm,0.920000,0.866962,0.896319
Foamy,SG1,23,65,SG1,A2_noPostSNV,rf,0.940000,0.950833,0.921956
Foamy,EMSC,23,65,EMSC,A2_noPostSNV,svm,0.880000,0.899196,0.843994
Foamy,EMSC,23,65,EMSC,A2_noPostSNV,rbf_svm,0.900000,0.910600,0.869041
Foamy,EMSC,23,65,EMSC,A2_noPostSNV,rf,0.920000,0.886938,0.895343
Foamy,Detrend,23,65,Detrend,A2_noPostSNV,svm,0.820000,0.802022,0.767322
Foamy,Detrend,23,65,Detrend,A2_noPostSNV,rbf_svm,0.840000,0.768736,0.792961
Foamy,Detrend,23,65,Detrend,A2_noPostSNV,rf,0.920000,0.915889,0.895397
Foamy,USP,24,66,none,A_postSNV,svm,0.940000,0.903663,0.922199
Foamy,USP,24,66,none,A_postSNV,rbf_svm,0.940000,0.903663,0.922199
Foamy,USP,24,66,none,A_postSNV,rf,0.940000,0.910920,0.921997
Foamy,SNV,24,66,SNV,A2_noPostSNV,svm,0.900000,0.855311,0.871795
Foamy,SNV,24,66,SNV,A2_noPostSNV,rbf_svm,0.900000,0.864815,0.870197
Foamy,SNV,24,66,SNV,A2_noPostSNV,rf,0.920000,0.898686,0.895452
Foamy,SG1,24,66,SG1,A2_noPostSNV,svm,0.880000,0.756224,0.845201
Foamy,SG1,24,66,SG1,A2_noPostSNV,rbf_svm,0.920000,0.899345,0.895561
Foamy,SG1,24,66,SG1,A2_noPostSNV,rf,0.920000,0.885283,0.895233
Foamy,EMSC,24,66,EMSC,A2_noPostSNV,svm,0.880000,0.859672,0.844318
Foamy,EMSC,24,66,EMSC,A2_noPostSNV,rbf_svm,0.880000,0.873486,0.843424
Foamy,EMSC,24,66,EMSC,A2_noPostSNV,rf,0.900000,0.884758,0.869588
Foamy,Detrend,24,66,Detrend,A2_noPostSNV,svm,0.880000,0.820245,0.846939
Foamy,Detrend,24,66,Detrend,A2_noPostSNV,rbf_svm,0.880000,0.850521,0.845917
Foamy,Detrend,24,66,Detrend,A2_noPostSNV,rf,0.940000,0.913796,0.921834
